Durations,Credit history,Credit_Purpose,Credit amount,Installment_Rate_Percent,Other debtors / guarantors,Residence_Years,Property,Age in years,Other_Inst_Plans,Housing,Num_Existing_Credits,Job,Liable_People,Telephone,Foreign worker,Checking_Account_Status,Gender,Status,Years_Employments,Saving_Status
7,existing paid,radio/tv,2415,3,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
60,delayed previously,business,6836,3,none,4,no known property,63,none,own,2,skilled,1,yes,yes,bad,male,single,7 or more years,less than 100
18,existing paid,business,1913,3,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good,male,mar/wid,less than 1 year,more than 1000
24,existing paid,furniture/equipment,4020,2,none,2,car,27,stores,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
18,existing paid,new car,5866,2,none,2,car,30,none,own,2,skilled,1,yes,yes,good,male,single,1-3 years,100-500
12,critical/other existing credit,business,1264,4,none,4,no known property,57,none,rent,1,unskilled_resident,1,none,yes,good,male,single,7 or more years,no savings
12,existing paid,furniture/equipment,1474,4,none,1,life insurance,33,bank,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
45,critical/other existing credit,radio/tv,4746,4,none,2,life insurance,25,none,own,2,unskilled_resident,1,none,yes,bad,male,single,less than 1 year,less than 100
48,critical/other existing credit,education,6110,1,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
18,existing paid,radio/tv,2100,4,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,bad,male,single,1-3 years,less than 100
10,existing paid,domestic appliance,1225,2,none,2,car,37,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
9,existing paid,radio/tv,458,4,none,3,real estate,24,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
30,existing paid,radio/tv,2333,4,none,2,car,30,bank,own,1,high_qualif_self_emp_mgmt,1,none,yes,good,male,single,7 or more years,500-1000
12,existing paid,radio/tv,1158,3,none,1,car,26,none,own,1,skilled,1,yes,yes,good,male,div/sep,1-3 years,500-1000
18,delayed previously,repairs,6204,2,none,4,real estate,44,none,own,1,unskilled_resident,2,yes,yes,good,male,single,1-3 years,less than 100
30,critical/other existing credit,used car,6187,1,none,4,car,24,none,rent,2,skilled,1,none,yes,good,male,mar/wid,4-6 years,100-500
48,critical/other existing credit,used car,6143,4,none,4,no known property,58,stores,for free,2,unskilled_resident,1,none,yes,bad,female,div/dep/mar,7 or more years,less than 100
11,critical/other existing credit,new car,1393,4,none,4,car,35,none,own,2,high_qualif_self_emp_mgmt,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
36,existing paid,radio/tv,2299,4,none,4,car,39,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,500-1000
6,existing paid,used car,1352,1,none,2,life insurance,23,none,rent,1,unemp_unskilled_non_res,1,yes,yes,good,female,div/dep/mar,unemployed,500-1000
11,critical/other existing credit,new car,7228,1,none,4,life insurance,39,none,own,2,unskilled_resident,1,none,yes,good,male,single,1-3 years,less than 100
12,existing paid,radio/tv,2073,4,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,100-500
24,delayed previously,furniture/equipment,2333,4,none,2,life insurance,29,bank,own,1,unskilled_resident,1,none,yes,good,male,single,less than 1 year,no savings
27,delayed previously,used car,5965,1,none,2,car,30,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,less than 100
12,existing paid,radio/tv,1262,3,none,2,car,25,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
18,existing paid,used car,3378,2,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,no savings
36,delayed previously,new car,2225,4,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,bad,male,single,7 or more years,less than 100
6,all paid,new car,783,1,guarantor,2,real estate,26,stores,own,1,unskilled_resident,2,none,yes,good,male,single,1-3 years,no savings
12,existing paid,radio/tv,6468,2,none,1,no known property,52,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,unemployed,no savings
36,critical/other existing credit,radio/tv,9566,2,none,2,car,31,stores,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
18,existing paid,new car,1961,3,none,2,car,23,none,own,1,high_qualif_self_emp_mgmt,1,none,yes,good,female,div/dep/mar,7 or more years,less than 100
36,critical/other existing credit,furniture/equipment,6229,4,co applicant,4,no known property,23,none,rent,2,unskilled_resident,1,yes,yes,bad,female,div/dep/mar,less than 1 year,less than 100
9,existing paid,business,1391,2,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,good,male,mar/wid,1-3 years,less than 100
15,critical/other existing credit,radio/tv,1537,4,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good,male,single,7 or more years,no savings
36,no credits/all paid,business,1953,4,none,4,no known property,61,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,7 or more years,less than 100
48,no credits/all paid,business,14421,2,none,2,car,25,none,own,1,skilled,1,yes,yes,bad,male,single,1-3 years,less than 100
24,existing paid,radio/tv,3181,4,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
27,existing paid,repairs,5190,4,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,good,male,single,7 or more years,no savings
12,existing paid,radio/tv,2171,2,none,2,car,29,bank,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,new car,1007,4,none,1,real estate,22,none,own,1,skilled,1,none,yes,good,male,mar/wid,1-3 years,more than 1000
36,existing paid,education,1819,4,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad,male,single,1-3 years,less than 100
36,existing paid,radio/tv,2394,4,none,4,car,25,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,no savings
36,existing paid,used car,8133,1,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
7,critical/other existing credit,radio/tv,730,4,none,2,life insurance,46,none,rent,2,unskilled_resident,1,yes,yes,good,male,single,7 or more years,no savings
8,critical/other existing credit,other,1164,3,none,4,no known property,51,bank,for free,2,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,7 or more years,less than 100
42,critical/other existing credit,business,5954,2,none,1,real estate,41,bank,own,2,unskilled_resident,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
36,existing paid,education,1977,4,none,4,no known property,40,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,7 or more years,no savings
12,critical/other existing credit,used car,1526,4,none,4,no known property,66,none,for free,2,high_qualif_self_emp_mgmt,1,none,yes,good,male,single,7 or more years,less than 100
42,existing paid,radio/tv,3965,4,none,3,car,34,none,own,1,skilled,1,none,yes,bad,male,single,less than 1 year,less than 100
11,delayed previously,radio/tv,4771,2,none,4,life insurance,51,none,own,1,skilled,1,none,yes,good,male,single,4-6 years,less than 100
54,no credits/all paid,used car,9436,2,none,2,life insurance,39,none,own,1,unskilled_resident,2,none,yes,good,male,single,1-3 years,no savings
30,existing paid,furniture/equipment,3832,2,none,1,life insurance,22,none,own,1,skilled,1,none,yes,good,male,mar/wid,less than 1 year,less than 100
24,existing paid,radio/tv,5943,1,none,1,car,44,none,own,2,skilled,1,yes,yes,bad,female,div/dep/mar,less than 1 year,no savings
15,existing paid,radio/tv,1213,4,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good,male,single,7 or more years,500-1000
18,existing paid,business,1568,3,none,4,life insurance,24,none,rent,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,100-500
24,existing paid,other,1755,4,guarantor,4,real estate,58,none,own,1,unskilled_resident,1,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
10,existing paid,radio/tv,2315,3,none,4,real estate,52,none,own,1,unskilled_resident,1,none,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,business,1412,4,guarantor,2,real estate,29,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
18,critical/other existing credit,furniture/equipment,1295,4,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
36,existing paid,education,12612,1,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,bad,male,single,1-3 years,100-500
18,existing paid,new car,2249,4,none,3,car,30,none,own,1,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,4-6 years,100-500
12,no credits/all paid,repairs,1108,4,none,3,real estate,28,none,own,2,skilled,1,none,yes,bad,male,single,4-6 years,less than 100
12,critical/other existing credit,radio/tv,618,4,none,4,real estate,56,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,used car,1409,4,none,3,real estate,54,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,radio/tv,797,4,none,3,life insurance,33,bank,own,1,unskilled_resident,2,none,yes,bad,female,div/dep/mar,7 or more years,no savings
24,critical/other existing credit,furniture/equipment,3617,4,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,good,male,single,7 or more years,no savings
12,existing paid,new car,1318,4,none,4,real estate,54,none,own,1,skilled,1,yes,yes,good,male,single,7 or more years,more than 1000
54,no credits/all paid,business,15945,3,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,bad,male,single,less than 1 year,less than 100
12,critical/other existing credit,education,2012,4,none,2,car,61,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,no savings
18,existing paid,business,2622,4,none,4,car,34,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,100-500
36,critical/other existing credit,radio/tv,2337,4,none,4,real estate,36,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,less than 100
20,delayed previously,used car,7057,3,none,4,life insurance,36,bank,rent,2,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,4-6 years,no savings
24,existing paid,new car,1469,4,none,4,real estate,41,none,rent,1,unskilled_resident,1,none,yes,good,male,mar/wid,7 or more years,100-500
36,existing paid,radio/tv,2323,4,none,4,car,24,none,rent,1,skilled,1,none,yes,good,male,single,4-6 years,less than 100
6,delayed previously,radio/tv,932,3,none,2,real estate,24,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
9,critical/other existing credit,furniture/equipment,1919,4,none,3,car,35,none,rent,1,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
12,existing paid,used car,2445,2,none,4,car,26,none,rent,1,skilled,1,yes,yes,good,male,mar/wid,less than 1 year,no savings
24,critical/other existing credit,other,11938,2,co applicant,3,car,39,none,own,2,high_qualif_self_emp_mgmt,2,yes,yes,bad,male,single,1-3 years,less than 100
18,all paid,new car,6458,2,none,4,no known property,39,bank,own,2,high_qualif_self_emp_mgmt,2,yes,yes,bad,male,single,7 or more years,less than 100
12,existing paid,new car,6078,2,none,2,car,32,none,own,1,skilled,1,none,yes,good,male,single,4-6 years,less than 100
24,existing paid,furniture/equipment,7721,1,none,2,life insurance,30,none,own,1,skilled,1,yes,no,good,female,div/dep/mar,less than 1 year,no savings
14,existing paid,business,1410,1,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good,male,mar/wid,7 or more years,500-1000
6,delayed previously,business,1449,1,none,2,car,31,bank,own,2,skilled,2,none,yes,good,male,div/sep,7 or more years,100-500
15,existing paid,education,392,4,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
18,existing paid,new car,6260,3,none,3,real estate,28,none,rent,1,unskilled_resident,1,none,yes,good,male,single,4-6 years,less than 100
36,critical/other existing credit,new car,7855,4,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
12,existing paid,radio/tv,1680,3,none,1,real estate,35,none,own,1,skilled,1,none,yes,good,male,mar/wid,7 or more years,500-1000
48,critical/other existing credit,radio/tv,3578,4,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good,male,single,7 or more years,no savings
42,existing paid,radio/tv,7174,4,none,3,car,30,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,4-6 years,no savings
10,critical/other existing credit,furniture/equipment,2132,2,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,good,female,div/dep/mar,less than 1 year,no savings
33,critical/other existing credit,furniture/equipment,4281,1,none,4,car,23,none,own,2,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,500-1000
12,critical/other existing credit,new car,2366,3,none,3,car,36,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,div/sep,4-6 years,500-1000
21,existing paid,radio/tv,1835,3,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
24,critical/other existing credit,used car,3868,4,none,2,car,41,none,rent,2,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
12,existing paid,furniture/equipment,1768,3,none,2,real estate,24,none,rent,1,unskilled_resident,1,none,yes,good,male,single,1-3 years,less than 100
10,critical/other existing credit,new car,781,4,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,good,male,single,7 or more years,less than 100
18,existing paid,furniture/equipment,1924,4,none,3,real estate,27,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,no savings
12,critical/other existing credit,new car,2121,4,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
12,existing paid,radio/tv,701,4,none,2,real estate,40,none,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,1-3 years,less than 100
12,existing paid,repairs,639,4,none,2,car,30,none,own,1,skilled,1,none,yes,bad,male,single,1-3 years,less than 100
12,critical/other existing credit,used car,1860,4,none,2,car,34,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,less than 100
12,critical/other existing credit,new car,3499,3,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
48,existing paid,new car,8487,1,none,2,car,24,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,no savings
36,delayed previously,education,6887,4,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,bad,male,single,1-3 years,less than 100
15,existing paid,furniture/equipment,2708,2,none,3,life insurance,27,bank,own,2,unskilled_resident,1,none,yes,good,male,single,less than 1 year,less than 100
18,existing paid,furniture/equipment,1984,4,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
60,existing paid,radio/tv,10144,2,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,4-6 years,100-500
12,critical/other existing credit,radio/tv,1240,4,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,no savings
27,delayed previously,used car,8613,2,none,2,car,27,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,more than 1000
12,existing paid,radio/tv,766,4,none,3,real estate,66,none,own,1,unskilled_resident,1,none,yes,bad,male,single,1-3 years,500-1000
15,critical/other existing credit,radio/tv,2728,4,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,good,male,single,4-6 years,no savings
12,existing paid,radio/tv,1881,2,none,2,car,44,none,rent,1,unskilled_resident,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
6,existing paid,new car,709,2,none,2,real estate,27,none,own,1,unemp_unskilled_non_res,1,none,no,good,male,mar/wid,less than 1 year,more than 1000
36,existing paid,radio/tv,4795,4,none,1,no known property,30,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
27,existing paid,radio/tv,3416,3,none,2,car,27,none,own,1,high_qualif_self_emp_mgmt,1,none,yes,good,male,single,1-3 years,less than 100
18,existing paid,furniture/equipment,2462,2,none,2,car,22,none,own,1,skilled,1,none,yes,bad,male,single,1-3 years,less than 100
21,critical/other existing credit,furniture/equipment,2288,4,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
48,all paid,business,3566,4,none,2,car,30,none,own,1,skilled,1,none,yes,good,male,single,4-6 years,100-500
6,critical/other existing credit,new car,860,1,none,4,no known property,39,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
12,critical/other existing credit,new car,682,4,none,3,car,51,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,4-6 years,100-500
36,critical/other existing credit,furniture/equipment,5371,3,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
18,critical/other existing credit,radio/tv,1582,4,none,4,car,46,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,more than 1000
6,existing paid,radio/tv,1346,2,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,good,male,single,7 or more years,100-500
10,existing paid,radio/tv,1924,1,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good,male,single,1-3 years,less than 100
36,existing paid,radio/tv,5848,4,none,1,car,24,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
24,critical/other existing credit,used car,7758,2,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,7 or more years,more than 1000
24,delayed previously,business,6967,4,none,4,car,36,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,4-6 years,100-500
12,existing paid,furniture/equipment,1282,2,none,4,car,20,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
9,critical/other existing credit,repairs,1288,3,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,good,male,single,7 or more years,100-500
12,all paid,retraining,339,4,none,1,car,45,bank,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,7 or more years,less than 100
24,existing paid,new car,3512,2,none,3,car,38,bank,own,2,skilled,1,yes,yes,good,male,single,4-6 years,100-500
6,critical/other existing credit,radio/tv,1898,1,none,2,real estate,34,none,own,2,unskilled_resident,2,none,yes,good,male,single,1-3 years,no savings
24,critical/other existing credit,radio/tv,2872,3,none,4,real estate,36,none,own,1,skilled,2,yes,yes,good,male,single,7 or more years,100-500
18,critical/other existing credit,new car,1055,4,none,1,life insurance,30,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
15,existing paid,domestic appliance,1262,4,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,good,male,single,4-6 years,500-1000
10,existing paid,new car,7308,2,none,4,no known property,70,bank,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,less than 100
36,existing paid,new car,909,4,none,4,life insurance,36,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,500-1000
6,existing paid,furniture/equipment,2978,1,none,2,car,32,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,500-1000
18,existing paid,furniture/equipment,1131,4,none,2,car,33,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,unemployed,less than 100
11,existing paid,furniture/equipment,1577,4,none,1,real estate,20,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,more than 1000
24,existing paid,furniture/equipment,3972,2,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,good,female,div/dep/mar,4-6 years,less than 100
24,critical/other existing credit,business,1935,4,none,4,real estate,31,none,own,2,skilled,1,yes,yes,bad,male,div/sep,7 or more years,less than 100
15,no credits/all paid,new car,950,4,none,3,car,33,none,rent,2,skilled,2,none,yes,bad,male,single,7 or more years,less than 100
12,existing paid,furniture/equipment,763,4,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
24,delayed previously,furniture/equipment,2064,3,none,2,life insurance,34,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,unemployed,less than 100
8,existing paid,radio/tv,1414,4,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,good,male,single,1-3 years,less than 100
21,delayed previously,education,3414,2,none,1,life insurance,26,none,own,2,skilled,1,none,yes,bad,male,single,less than 1 year,less than 100
30,all paid,used car,7485,4,none,1,real estate,53,bank,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,unemployed,no savings
12,existing paid,furniture/equipment,2577,2,none,1,car,42,none,own,1,skilled,1,none,yes,good,male,div/sep,1-3 years,less than 100
6,critical/other existing credit,radio/tv,338,4,none,4,car,52,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,500-1000
12,existing paid,radio/tv,1963,4,none,2,car,31,none,rent,2,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,4-6 years,less than 100
21,critical/other existing credit,new car,571,4,none,4,real estate,65,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,less than 100
36,delayed previously,business,9572,1,none,1,car,28,none,own,2,skilled,1,none,yes,bad,male,div/sep,less than 1 year,less than 100
36,delayed previously,business,4455,2,none,2,real estate,30,stores,own,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,div/sep,1-3 years,less than 100
21,all paid,new car,1647,4,none,2,life insurance,40,none,own,2,unskilled_resident,2,none,yes,bad,male,single,1-3 years,no savings
24,critical/other existing credit,furniture/equipment,3777,4,none,4,real estate,50,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,more than 1000
18,critical/other existing credit,new car,884,4,none,4,car,36,bank,own,1,skilled,2,yes,yes,bad,male,single,7 or more years,less than 100
15,critical/other existing credit,radio/tv,1360,4,none,2,life insurance,31,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
9,all paid,used car,5129,2,none,4,no known property,74,bank,for free,1,high_qualif_self_emp_mgmt,2,yes,yes,bad,female,div/dep/mar,7 or more years,less than 100
16,critical/other existing credit,new car,1175,2,none,3,car,68,none,for free,3,unemp_unskilled_non_res,1,yes,yes,good,male,single,unemployed,less than 100
12,existing paid,radio/tv,674,4,none,1,life insurance,20,none,own,1,skilled,1,none,yes,bad,male,mar/wid,4-6 years,100-500
18,no credits/all paid,furniture/equipment,3244,1,none,4,car,33,bank,own,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
24,existing paid,business,4591,2,none,3,life insurance,54,none,own,3,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,1-3 years,more than 1000
48,no credits/all paid,business,3844,4,none,4,no known property,34,none,for free,1,unskilled_resident,2,none,yes,bad,male,single,4-6 years,100-500
27,existing paid,business,3915,4,none,2,car,36,none,own,1,skilled,2,yes,yes,bad,male,single,1-3 years,less than 100
6,existing paid,radio/tv,2108,2,none,2,real estate,29,none,rent,1,skilled,1,none,yes,good,male,mar/wid,4-6 years,less than 100
45,existing paid,radio/tv,3031,4,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad,male,single,1-3 years,100-500
9,critical/other existing credit,education,1501,2,none,3,car,34,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,7 or more years,less than 100
6,critical/other existing credit,radio/tv,1382,1,none,1,car,28,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
12,existing paid,furniture/equipment,951,4,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,100-500
24,existing paid,used car,2760,4,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,good,male,single,7 or more years,no savings
18,delayed previously,furniture/equipment,4297,4,none,3,no known property,40,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,div/sep,7 or more years,less than 100
9,critical/other existing credit,education,936,4,none,2,car,52,none,own,2,skilled,1,yes,yes,good,male,single,7 or more years,500-1000
